index,STARTSTATIONNAME,ENDSTATIONNAME,NUMBEROFTRIPS,DELTATIME,STARTSTATIONID,ENDSTATIONID
943,René-Lévesque / Papineau,Marché Jean-Talon (Casgrain / Shamrock),1,0 days 00:39:35.274000,95,794
944,Ball / Bloomfield,du Havre / Hochelaga,2,0 days 00:39:35.220000,514,80
945,des Érables / Rachel,Hamel / Sauriol,2,0 days 00:39:34.983500,142,480
946,Métro Lionel-Groulx (St-Jacques / Atwater),des Carrières / Marquette,1,0 days 00:39:34.879000,607,130
947,Pierre-de-Coubertin / Aird,Métro St-Laurent ( de Maisonneuve / St-Laurent),1,0 days 00:39:34.808000,647,834
948,Métro Sauvé (Berri / Sauvé),des Pins / St-Laurent,1,0 days 00:39:32.597000,208,209
949,du Havre / Hochelaga,Marché Jean-Talon (Casgrain / Shamrock),2,0 days 00:39:31.483500,80,794
950,CHSLD Robert Cliche (de Bellechasse / 16e avenue),de Maisonneuve / Mansfield (nord),1,0 days 00:39:31.124000,838,559
951,Smith / Peel,Métro Joliette  (Hochelaga / Joliette),1,0 days 00:39:29.529000,641,322
952,Parc Molson (d'Iberville / Beaubien),de Maisonneuve / Mackay,7,0 days 00:39:29.501000,769,89
953,Messier / St-Joseph,Ste-Catherine / Towers,11,0 days 00:39:29.031181818,752,86
954,de la Côte St-Paul / St-Ambroise,Métro Atwater (Atwater / Ste-Catherine),1,0 days 00:39:29.004000,567,83
955,Duke / Nazareth,Place d'Youville / McGill,1,0 days 00:39:28.820000,76,37
956,des Pins / St-Laurent,Parc Villeray (Christophe-Colomb / Jarry),2,0 days 00:39:27.392000,209,342
957,Omer-Lavallée / du Midway,Georges-Vanier / Notre-Dame,1,0 days 00:39:27.302000,385,303
958,Chabanel / du Parc,CHSLD Robert Cliche (de Bellechasse / 16e avenue),2,0 days 00:39:26.892500,623,838
959,St-Denis / de Maisonneuve,de la Côte St-Paul / St-Ambroise,1,0 days 00:39:26.091000,15,567
960,La Tour de Montréal (Pierre-de-Coubertin / Bennett),de Bellechasse / de Lanaudière,6,0 days 00:39:25.549833333,798,824
961,CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),Place Valois (Valois / Ontario),1,0 days 00:39:24.492000,823,676
962,de Bellechasse / de Lanaudière,Métro Atwater (Atwater / Ste-Catherine),1,0 days 00:39:24.304000,824,83
963,Smith / Peel,Laurier / St-Denis,1,0 days 00:39:23.891000,641,558
964,de Maisonneuve / Mansfield (sud),Métro Viau ( Pierre-de-Coubertin / Viau),2,0 days 00:39:23.546000,26,329
965,La Tour de Montréal (Pierre-de-Coubertin / Bennett),Garnier / Beaubien,5,0 days 00:39:22.181400,798,47
966,Ste-Catherine / Towers,Masson / Molson,1,0 days 00:39:21.031000,86,780
967,Marmier / St-Denis,Ste-Catherine / St-Clément,1,0 days 00:39:20.694000,168,69
968,Métro Laurier (Berri / St-Joseph),Marché Maisonneuve,1,0 days 00:39:20.063000,537,330
969,Square Victoria (Viger / du Square-Victoria),Villeray / de Normanville,2,0 days 00:39:19.752500,42,485
970,Aylwin / Ontario,Atwater / Greene,1,0 days 00:39:18.581000,325,548
971,Parc St-Henri (Laporte / Guay),de Maisonneuve / Aylmer (est),1,0 days 00:39:17.972000,427,106
972,Square Viger (Berri / Viger),Parc Molson (d'Iberville / Beaubien),7,0 days 00:39:17.174428571,839,769
973,de Maisonneuve / Aylmer (ouest),Villeray / de Normanville,2,0 days 00:39:17.040500,68,485
974,Jeanne-Mance / Sherbrooke,Parc Villeray (Christophe-Colomb / Jarry),1,0 days 00:39:15.646000,122,342
975,St-Jacques / McGill,Lajeunesse / Villeray,1,0 days 00:39:14.253000,40,489
976,Collège de Rosemont (Beaubien / 15e avenue),des Pins / St-Laurent,2,0 days 00:39:13.085000,840,209
977,Lanaudière / Jean-Talon,McTavish / Sherbrooke,11,0 days 00:39:12.937090909,271,608
978,Milton / St-Laurent,Stanley / René-Lévesque,1,0 days 00:39:12.148000,207,57
979,Ste-Catherine / Bishop,Atwater / Sherbrooke,3,0 days 00:39:10.490333333,87,126
980,McTavish / Sherbrooke,Marmier / St-Denis,10,0 days 00:39:10.284900,608,168
981,Marché Maisonneuve,Villeray / de Normanville,1,0 days 00:39:09.973000,330,485
982,Masson / Molson,Métro Peel (de Maisonneuve / Stanley),1,0 days 00:39:08.915000,780,62
983,du Parc-Lafontaine / Rachel,Parc Nicolas-Tillemont (des Érables / Villeray),1,0 days 00:39:07.922000,176,835
984,Robert-Bourassa / St-Maurice,Complexe Desjardins (St-Urbain / René-Lévesque),1,0 days 00:39:05.911000,49,888
985,Parc Molson (d'Iberville / Beaubien),St-Jacques / McGill,2,0 days 00:39:05.683500,769,40
986,Bennett / Ste-Catherine,Robert-Bourassa / St-Maurice,1,0 days 00:39:05.102000,530,49
987,Laurier / St-Denis,Marché Atwater,4,0 days 00:39:03.607250,558,306
988,de la Commune / Berri,Métro Crémazie (Crémazie / Lajeunesse),5,0 days 00:39:02.787200,22,424
989,Sherbrooke / Jeanne-d'Arc,des Pins / St-Laurent,2,0 days 00:39:02.393000,457,209
990,CHSLD Robert Cliche (de Bellechasse / 16e avenue),Frontenac / Ste-Catherine,1,0 days 00:39:02.377000,838,99
991,Hamel / Sauriol,René-Lévesque / Papineau,6,0 days 00:39:01.708833333,480,95
992,Jacques-Casault / Christophe-Colomb,St-Hubert / de Maisonneuve (sud),1,0 days 00:39:00.598000,491,822
993,St-Urbain / Laurier,Laurier / St-Denis,124,0 days 00:38:58.150024193,437,558
994,Métro Parc  (Hutchison / Ogilvy),St-Hubert / de Maisonneuve (nord),6,0 days 00:38:57.525333333,408,594
995,Place du Canada (Peel / des Canadiens-de-Montréal),Omer-Lavallée / du Midway,1,0 days 00:38:57.056000,55,385
996,des Érables / Rachel,Métro Crémazie (Crémazie / Lajeunesse),4,0 days 00:38:56.315500,142,424
997,de Maisonneuve / Fullum,Métro Lionel-Groulx (St-Jacques / Atwater),2,0 days 00:38:56.065500,97,607
998,de Maisonneuve / Aylmer (est),Villeray / de Normanville,2,0 days 00:38:54.615000,106,485
999,de la Commune / King,de la Commune / King,41,0 days 00:38:54.126804878,51,51
1000,Métro Pie-IX (Pierre-de-Coubertin / Desjardins),Gary-Carter / St-Laurent,1,0 days 00:38:53.857000,388,396
1001,Métro Viau ( Pierre-de-Coubertin / Viau),BAnQ (Berri),1,0 days 00:38:53.629000,329,836
1002,Sherbrooke / Jeanne-d'Arc,de la Commune / St-Sulpice,2,0 days 00:38:52.699500,457,35
1003,Villeray / de Normanville,Smith / Peel,19,0 days 00:38:52.064578947,485,641
1004,St-Hubert / de Maisonneuve (sud),Ball / Bloomfield,1,0 days 00:38:52.043000,822,514
1005,des Carrières / Marquette,St-Jacques / des Seigneurs,5,0 days 00:38:51.844200,130,667
1006,St-Antoine / Jean-Paul Riopelle,Berri / Rachel,4,0 days 00:38:51.762750,39,545
1007,Lanaudière / Jean-Talon,Lanaudière / Jean-Talon,23,0 days 00:38:51.734130434,271,271
1008,Place du Canada (Peel / des Canadiens-de-Montréal),Marché Jean-Talon (Casgrain / Shamrock),2,0 days 00:38:51.397500,55,794
1009,Clark / de l'Arcade,de la Commune / King,11,0 days 00:38:51.277545454,228,51
1010,Métro Sherbrooke (de Rigaud / Berri),Hamel / Sauriol,2,0 days 00:38:51.258500,19,480
1011,Ste-Catherine / Bishop,Masson / Molson,1,0 days 00:38:50.263000,87,780
1012,Ontario / Ville-Marie,Square Victoria (Viger / du Square-Victoria),7,0 days 00:38:49.650714285,474,42
1013,Richmond / des Bassins,Atwater / Greene,9,0 days 00:38:47.629111111,581,548
1014,Métro Mont-Royal (Utilités publiques / Rivard),Notre-Dame  / St-Martin,2,0 days 00:38:47.390000,347,301
1015,Papineau / Émile-Journault,Métro Laurier (Berri / St-Joseph),1,0 days 00:38:47.049000,675,537
1016,Milton / St-Laurent,Ste-Émilie / Sir-Georges-Etienne-Cartier,2,0 days 00:38:46.849500,207,302
1017,Métro Mont-Royal (Utilités publiques / Rivard),Métro Viau ( Pierre-de-Coubertin / Viau),2,0 days 00:38:44.563000,347,329
1018,de Maisonneuve / Aylmer (ouest),15e avenue / Laurier,2,0 days 00:38:44.546500,68,378
1019,Ball / Bloomfield,Messier / St-Joseph,1,0 days 00:38:43.839000,514,752
1020,du Mont-Royal / de Brébeuf,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),1,0 days 00:38:43.052000,157,797
1021,Jeanne-Mance / René-Lévesque,Marché Maisonneuve,1,0 days 00:38:40.919000,582,330
1022,Aylwin / Ontario,Marché Atwater,2,0 days 00:38:39.402500,325,306
1023,Métro Henri-Bourassa (Henri-Bourassa / Millen),du Mont-Royal / Clark,2,0 days 00:38:39.147000,490,218
1024,des Pins / St-Laurent,CHSLD Robert Cliche (de Bellechasse / 16e avenue),5,0 days 00:38:38.212000,209,838
1025,St-Viateur / Casgrain,Bennett / Ste-Catherine,1,0 days 00:38:36.581000,532,530
1026,Molson / Wiliam-Tremblay,Gary-Carter / St-Laurent,2,0 days 00:38:36.414500,886,396
1027,Métro Parc  (Hutchison / Ogilvy),St-Hubert / de Maisonneuve (sud),2,0 days 00:38:36.381000,408,822
1028,Fabrik8 (Waverly / Jean-Talon),Métro Viau ( Pierre-de-Coubertin / Viau),2,0 days 00:38:36.351000,801,329
1029,Square Viger (Berri / Viger),6e Avenue / Bélanger,5,0 days 00:38:35.821800,839,268
1030,Robert-Bourassa / St-Maurice,Villeray / de Normanville,7,0 days 00:38:35.335428571,49,485
1031,du Parc-Lafontaine / Rachel,de la Côte St-Paul / St-Ambroise,1,0 days 00:38:35.111000,176,567
1032,Messier / St-Joseph,McTavish / Sherbrooke,1,0 days 00:38:34.037000,752,608
1033,McTavish / Sherbrooke,de Gaspé / Marmier,2,0 days 00:38:33.454500,608,692
1034,Ste-Catherine / Union,Marché Jean-Talon (Casgrain / Shamrock),1,0 days 00:38:33.334000,426,794
1035,Métro Crémazie (Crémazie / Lajeunesse),de Maisonneuve / Mansfield (sud),1,0 days 00:38:33.268000,424,26
1036,de Gaspé / Marmier,Ontario / Ville-Marie,1,0 days 00:38:32.321000,692,474
1037,Ste-Catherine / St-Clément,Complexe Desjardins (St-Urbain / René-Lévesque),1,0 days 00:38:32.227000,69,888
1038,des Carrières / Marquette,des Bassins / du Séminaire,1,0 days 00:38:31.721000,130,290
1039,Complexe sportif Claude-Robillard (Émile-Journault),Sherbrooke / Jeanne-d'Arc,3,0 days 00:38:31.231666666,517,457
1040,des Pins / St-Laurent,Chabanel / du Parc,1,0 days 00:38:30.772000,209,623
1041,Métro Henri-Bourassa (Henri-Bourassa / Millen),Marché Jean-Talon (Casgrain / Shamrock),8,0 days 00:38:30.700875,490,794
1042,Métro Place-d'Armes (Viger / St-Urbain),Stanley / René-Lévesque,1,0 days 00:38:29.424000,31,57
1043,Ste-Catherine / Bishop,Garnier / Beaubien,1,0 days 00:38:29.409000,87,47
1044,Métro Sauvé (Berri / Sauvé),Métro Mont-Royal (Utilités publiques / Rivard),5,0 days 00:38:29.397600,208,347
1045,Métro Viau ( Pierre-de-Coubertin / Viau),Métro Papineau (Dorion / De Maisonneuve),2,0 days 00:38:29.062000,329,103
1046,Lanaudière / Jean-Talon,Métro Peel (de Maisonneuve / Stanley),2,0 days 00:38:28.293500,271,62
1047,Complexe sportif Claude-Robillard (Émile-Journault),de l'Hôtel-de-Ville / Rachel,1,0 days 00:38:27.882000,517,309
1048,Parc Molson (d'Iberville / Beaubien),Place du Canada (Peel / des Canadiens-de-Montréal),1,0 days 00:38:27.256000,769,55
1049,Cartier / Marie-Anne,Jean-Talon / de l'Épée,2,0 days 00:38:26.904000,544,500
1050,Métro St-Laurent ( de Maisonneuve / St-Laurent),Parc Molson (d'Iberville / Beaubien),1,0 days 00:38:26.090000,834,769
1051,Laurier / St-Denis,Hamel / Sauriol,5,0 days 00:38:25.378000,558,480
1052,Chabanel / du Parc,des Pins / St-Laurent,2,0 days 00:38:25.129500,623,209
1053,St-Antoine / Jean-Paul Riopelle,Aylwin / Ontario,3,0 days 00:38:23.342000,39,325
1054,Émile-Duployé / Sherbrooke,Robert-Bourassa / René-Lévesque,1,0 days 00:38:23.229000,148,873
1055,St-Viateur / Casgrain,Parc Henri-Julien (Legendre / Henri-Julien),1,0 days 00:38:22.994000,532,287
1056,Jeanne-Mance / Sherbrooke,Jeanne-Mance / Sherbrooke,72,0 days 00:38:21.865055555,122,122
1057,Gare d'autocars de Montréal (Berri / Ontario),Workman / Vinet,1,0 days 00:38:21.507000,740,307
1058,Métro Pie-IX (Pierre-de-Coubertin / Desjardins),Peel / Notre-Dame,1,0 days 00:38:21.318000,388,77
1059,Jeanne-Mance / René-Lévesque,Garnier / Beaubien,1,0 days 00:38:20.723000,582,47
1060,Collège de Rosemont (Beaubien / 15e avenue),Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),2,0 days 00:38:20.529500,840,797
1061,Parc Villeray (Christophe-Colomb / Jarry),Place Valois (Valois / Ontario),1,0 days 00:38:19.239000,342,676
1062,McTavish / Sherbrooke,Parc Villeray (Christophe-Colomb / Jarry),1,0 days 00:38:18.743000,608,342
1063,de l'Hôtel-de-Ville / Rachel,Bennett / Ste-Catherine,1,0 days 00:38:18.668000,309,530
1064,St-Urbain / Laurier,Workman / Vinet,5,0 days 00:38:17.056800,437,307
1065,Ste-Catherine / Union,Garnier / Beaubien,2,0 days 00:38:16.551500,426,47
1066,Ste-Catherine / Drummond,Parc Molson (d'Iberville / Beaubien),1,0 days 00:38:16.291000,60,769
1067,St-Jacques / McGill,Marché Jean-Talon (Casgrain / Shamrock),2,0 days 00:38:16.282500,40,794
1068,Gare d'autocars de Montréal (Berri / Ontario),St-Hubert / de Maisonneuve (nord),3,0 days 00:38:15.966000,740,594
1069,Métro Laurier (Berri / St-Joseph),Atwater / Greene,2,0 days 00:38:15.542500,537,548
1070,Milton / St-Laurent,Ottawa / du Séminaire,1,0 days 00:38:15.524000,207,381
1071,Marmier / St-Denis,Bennett / Ste-Catherine,1,0 days 00:38:14.234000,168,530
1072,Métro Parc  (Hutchison / Ogilvy),de Chambly / de Rouen,1,0 days 00:38:13.818000,408,850
1073,des Pins / St-Laurent,Lanaudière / Jean-Talon,2,0 days 00:38:12.536000,209,271
1074,Métro Sauvé (Berri / Sauvé),Rachel / de Brébeuf,1,0 days 00:38:12.340000,208,144
1075,de Maisonneuve / Mackay,Workman / Vinet,2,0 days 00:38:12.284000,89,307
1076,Métro Sherbrooke (de Rigaud / Berri),Place Valois (Valois / Ontario),2,0 days 00:38:11.717000,19,676
1077,Villeray / de Normanville,Robert-Bourassa / St-Maurice,6,0 days 00:38:10.373333333,485,49
1078,Parc Jeanne-Mance (monument sir George-Étienne-Cartier),Gare d'autocars de Montréal (Berri / Ontario),5,0 days 00:38:04.911400,214,740
1079,Villeray / de Normanville,CHSLD Joseph-François-Perrault (St-Michel / Everett),2,0 days 00:38:04.878000,485,828
1080,Ball / Bloomfield,Complexe Desjardins (St-Urbain / René-Lévesque),9,0 days 00:38:04.703777777,514,888
1081,Métro Lionel-Groulx (St-Jacques / Atwater),de Maisonneuve / Mansfield (sud),2,0 days 00:38:04.691500,607,26
1082,Métro Laurier (Berri / St-Joseph),Cité des Arts du Cirque (Paul Boutet / des Regrattiers),2,0 days 00:38:04.469000,537,453
1083,Lajeunesse / Villeray,Ottawa / du Séminaire,1,0 days 00:38:04.188000,489,381
1084,Cartier / Marie-Anne,CHSLD St-Michel (8e avenue / Jarry),1,0 days 00:38:02.836000,544,772
1085,Atwater / Greene,BAnQ (Berri),2,0 days 00:38:02.450500,548,836
1086,Place Valois (Valois / Ontario),Lanaudière / Jean-Talon,2,0 days 00:38:01.126500,676,271
1087,Parc St-Henri (Laporte / Guay),Calixa-Lavallée / Rachel,1,0 days 00:38:00.730000,427,143
1088,Lanaudière / Jean-Talon,St-Antoine / Jean-Paul Riopelle,2,0 days 00:38:00.122500,271,39
1089,Métro Champ-de-Mars (Viger / Sanguinet),Cathcart / McGill College,1,0 days 00:37:59.950000,1,59
1090,Ste-Catherine / St-Clément,Square Victoria (Viger / du Square-Victoria),1,0 days 00:37:59.299000,69,42
1091,Place du Canada (Peel / des Canadiens-de-Montréal),Lajeunesse / Villeray,1,0 days 00:37:59.107000,55,489
1092,Métro Crémazie (Crémazie / Lajeunesse),des Érables / Rachel,3,0 days 00:37:58.401666666,424,142
1093,Ste-Émilie / Sir-Georges-Etienne-Cartier,de Maisonneuve / Mackay,3,0 days 00:37:56.142666666,302,89
1094,Jeanne-Mance / Sherbrooke,Parc Henri-Julien (Legendre / Henri-Julien),1,0 days 00:37:55.925000,122,287
1095,Ste-Catherine / Union,Robert-Bourassa / René-Lévesque,2,0 days 00:37:55.796000,426,873
1096,René-Lévesque / Papineau,Lajeunesse / Villeray,6,0 days 00:37:54.691000,95,489
1097,Cartier / Marie-Anne,Métro Acadie (de l'Acadie / Beaumont),1,0 days 00:37:52.430000,544,501
1098,Duke / Nazareth,Masson / Molson,6,0 days 00:37:51.380833333,76,780
1099,Complexe Desjardins (St-Urbain / René-Lévesque),Calixa-Lavallée / Rachel,1,0 days 00:37:50.903000,888,143
1100,Ste-Catherine / Towers,Métro Frontenac (Ontario / du Havre),4,0 days 00:37:50.894250,86,109
1101,Métro Place-d'Armes (Viger / St-Urbain),Lajeunesse / Villeray,1,0 days 00:37:50.757000,31,489
1102,du Havre / Hochelaga,Smith / Peel,1,0 days 00:37:50.661000,80,641
1103,Métro Crémazie (Crémazie / Lajeunesse),Stanley / René-Lévesque,1,0 days 00:37:50.322000,424,57
1104,Robert-Bourassa / René-Lévesque,Parc Molson (d'Iberville / Beaubien),1,0 days 00:37:49.305000,873,769
1105,Complexe sportif Claude-Robillard (Émile-Journault),Émile-Duployé / Sherbrooke,1,0 days 00:37:49.240000,517,148
1106,Place d'Youville / McGill,de la Commune / King,8,0 days 00:37:49.113000,37,51
1107,Métro Sherbrooke (de Rigaud / Berri),Jacques-Casault / Christophe-Colomb,5,0 days 00:37:48.306600,19,491
1108,Complexe sportif Claude-Robillard (Émile-Journault),Messier / St-Joseph,2,0 days 00:37:47.774500,517,752
1109,Métro Joliette  (Hochelaga / Joliette),de Maisonneuve / Aylmer (ouest),2,0 days 00:37:47.016500,322,68
1110,Robert-Bourassa / St-Maurice,Place d'Youville / McGill,4,0 days 00:37:46.982750,49,37
1111,Ontario / Ville-Marie,de la Commune / King,1,0 days 00:37:45.124000,474,51
1112,CHSLD St-Michel (8e avenue / Jarry),St-Denis / de Maisonneuve,3,0 days 00:37:44.853000,772,15
1113,Jeanne-Mance / René-Lévesque,Villeray / de Normanville,1,0 days 00:37:44.272000,582,485
1114,Jeanne-Mance / René-Lévesque,Métro Georges-Vanier (St-Antoine / Canning),1,0 days 00:37:43.252000,582,308
1115,Bennett / Ste-Catherine,Métro Mont-Royal (Utilités publiques / Rivard),2,0 days 00:37:42.917000,530,347
1116,La Tour de Montréal (Pierre-de-Coubertin / Bennett),de la Porte de Québec / St-André,1,0 days 00:37:42.761000,798,11
1117,Marché Jean-Talon (Casgrain / Shamrock),de la Montagne / Notre-Dame,2,0 days 00:37:42.330500,794,291
1118,de Bleury / de Maisonneuve,Gary-Carter / St-Laurent,1,0 days 00:37:41.014000,462,396
1119,Métro Papineau (Dorion / De Maisonneuve),Pierre-de-Coubertin / Aird,2,0 days 00:37:40.332500,103,647
1120,Marché Maisonneuve,de Bellechasse / de Lanaudière,1,0 days 00:37:40.277000,330,824
1121,Métro St-Michel (Shaughnessy / St-Michel),St-Denis / de Maisonneuve,1,0 days 00:37:39.790000,349,15
1122,Ste-Catherine / Bishop,Lajeunesse / Villeray,2,0 days 00:37:39.520000,87,489
1123,Métro Pie-IX (Pierre-de-Coubertin / Desjardins),St-Viateur / Casgrain,2,0 days 00:37:39.297000,388,532
1124,Hamel / Sauriol,St-Viateur / Casgrain,3,0 days 00:37:39.197000,480,532
1125,de la Commune / Berri,St-Rémi / Ste-Émilie,3,0 days 00:37:38.508333333,22,379
1126,Workman / Vinet,Métro Place-d'Armes (Viger / St-Urbain),1,0 days 00:37:38.491000,307,31
1127,Masson / Molson,de Maisonneuve / Mansfield (sud-est),1,0 days 00:37:38.313000,780,421
1128,Viger / Chenneville,Métro Frontenac (Ontario / du Havre),2,0 days 00:37:38.084500,34,109
1129,René-Lévesque / Papineau,Villeray / de Normanville,1,0 days 00:37:37.809000,95,485
1130,Parc Molson (d'Iberville / Beaubien),Workman / Vinet,1,0 days 00:37:37.576000,769,307
1131,Bennett / Ste-Catherine,de Maisonneuve / Aylmer (est),4,0 days 00:37:37.006750,530,106
1132,Square Viger (Berri / Viger),des Carrières / Marquette,5,0 days 00:37:36.970000,839,130
1133,Smith / Peel,de Maisonneuve / Mansfield (sud-est),1,0 days 00:37:36.946000,641,421
1134,Place Valois (Valois / Ontario),de la Commune / Place Jacques-Cartier,5,0 days 00:37:36.166800,676,25
1135,de Maisonneuve / Aylmer (ouest),des Carrières / Marquette,3,0 days 00:37:35.917000,68,130
1136,Sherbrooke / Jeanne-d'Arc,St-Denis / de Maisonneuve,2,0 days 00:37:34.773500,457,15
1137,Place du Canada (Peel / des Canadiens-de-Montréal),St-Denis / de Maisonneuve,2,0 days 00:37:33.476000,55,15
1138,Omer-Lavallée / du Midway,Métro Atwater (Atwater / Ste-Catherine),1,0 days 00:37:32.430000,385,83
1139,Ste-Catherine / Union,Collège de Rosemont (Beaubien / 15e avenue),1,0 days 00:37:32.324000,426,840
1140,Gary-Carter / St-Laurent,Place Valois (Valois / Ontario),15,0 days 00:37:31.762133333,396,676
1141,McTavish / Sherbrooke,Lajeunesse / Villeray,3,0 days 00:37:31.541333333,608,489
1142,St-Viateur / Casgrain,Marché Maisonneuve,1,0 days 00:37:29.884000,532,330
1143,Place d'Youville / McGill,de Bellechasse / de Lanaudière,3,0 days 00:37:29.831000,37,824
1144,Émile-Duployé / Sherbrooke,15e avenue / Laurier,19,0 days 00:37:29.725684210,148,378
1145,Tolhurst / Fleury,Parc Molson (d'Iberville / Beaubien),1,0 days 00:37:29.611000,515,769
1146,Villeray / de Normanville,Clark / Ontario,3,0 days 00:37:27.963666666,485,3
1147,Parc Villeray (Christophe-Colomb / Jarry),Complexe Desjardins (St-Urbain / René-Lévesque),2,0 days 00:37:27.123000,342,888
1148,Collège de Rosemont (Beaubien / 15e avenue),de Maisonneuve / Aylmer (est),3,0 days 00:37:26.491000,840,106
1149,McTavish / Sherbrooke,Villeray / de Normanville,2,0 days 00:37:24.815500,608,485
1150,Villeray / de Normanville,Métro Viau ( Pierre-de-Coubertin / Viau),1,0 days 00:37:24.788000,485,329
1151,Parc Villeray (Christophe-Colomb / Jarry),Parc Jeanne-Mance (du Mont-Royal / du Parc),1,0 days 00:37:24.709000,342,220
1152,Métro Frontenac (Ontario / du Havre),de Maisonneuve / Aylmer (est),1,0 days 00:37:22.532000,109,106
1153,St-Grégoire / Christophe-Colomb,Parc St-Henri (Laporte / Guay),1,0 days 00:37:21.454000,166,427
1154,de la Commune / Place Jacques-Cartier,Parc Molson (d'Iberville / Beaubien),3,0 days 00:37:20.597666666,25,769
1155,de la Commune / Berri,de la Côte St-Paul / St-Ambroise,1,0 days 00:37:20.501000,22,567
1156,Lajeunesse / Villeray,de Maisonneuve / Fullum,1,0 days 00:37:20.332000,489,97
1157,Ontario / Ville-Marie,de Maisonneuve / Aylmer (est),1,0 days 00:37:19.912000,474,106
1158,Pierre-de-Coubertin / Aird,Marmier / St-Denis,1,0 days 00:37:19.693000,647,168
1159,Métro Laurier (Berri / St-Joseph),Métro Atwater (Atwater / Ste-Catherine),1,0 days 00:37:19.606000,537,83
1160,des Pins / St-Laurent,Collège de Rosemont (Beaubien / 15e avenue),1,0 days 00:37:19.582000,209,840
1161,Peel / Notre-Dame,Laurier / St-Denis,2,0 days 00:37:19.197000,77,558
1162,St-Jacques / McGill,Laurier / St-Denis,2,0 days 00:37:18.847500,40,558
1163,Gare d'autocars de Montréal (Berri / Ontario),Ste-Catherine / St-Clément,1,0 days 00:37:18.099000,740,69
1164,Marché Atwater,Dorion / Ontario,3,0 days 00:37:17.938666666,306,108
1165,de la Commune / King,Ste-Catherine / St-Clément,1,0 days 00:37:16.911000,51,69
1166,Métro St-Laurent ( de Maisonneuve / St-Laurent),de la Montagne / Notre-Dame,2,0 days 00:37:16.428500,834,291
1167,Ste-Catherine / St-Clément,de la Commune / King,1,0 days 00:37:16.275000,69,51
1168,de Gaspé / Marmier,Métro Pie-IX (Pierre-de-Coubertin / Desjardins),1,0 days 00:37:14.834000,692,388
1169,Métro Acadie (de l'Acadie / Beaumont),Métro Acadie (de l'Acadie / Beaumont),22,0 days 00:37:14.505636363,501,501
1170,Hamel / Sauriol,du Havre / Hochelaga,1,0 days 00:37:14.266000,480,80
1171,CHSLD Robert Cliche (de Bellechasse / 16e avenue),CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),2,0 days 00:37:14.247000,838,823
1172,CHSLD St-Michel (8e avenue / Jarry),des Pins / St-Laurent,2,0 days 00:37:14.202000,772,209
1173,Laurier / St-Denis,Viger / Chenneville,1,0 days 00:37:13.275000,558,34
1174,Frontenac / Ste-Catherine,Parc Nicolas-Tillemont (des Érables / Villeray),1,0 days 00:37:12.877000,99,835
1175,Collège de Rosemont (Beaubien / 15e avenue),Milton / St-Laurent,1,0 days 00:37:12.552000,840,207
1176,Notre-Dame / St-Gabriel,Lajeunesse / Villeray,1,0 days 00:37:10.175000,24,489
1177,Clark / Ontario,Marché Maisonneuve,1,0 days 00:37:10.130000,3,330
1178,Collège de Rosemont (Beaubien / 15e avenue),Hamel / Sauriol,2,0 days 00:37:09.818500,840,480
1179,Métro Sherbrooke (de Rigaud / Berri),Métro Henri-Bourassa (Henri-Bourassa / Millen),1,0 days 00:37:09.301000,19,490
1180,Métro Peel (de Maisonneuve / Stanley),de la Commune / Place Jacques-Cartier,3,0 days 00:37:08.626333333,62,25
1181,Marché Jean-Talon (Casgrain / Shamrock),Ontario / Ville-Marie,1,0 days 00:37:07.973000,794,474
1182,Place d'Youville / McGill,St-Antoine / Jean-Paul Riopelle,13,0 days 00:37:07.751153846,37,39
1183,Collège de Rosemont (Beaubien / 15e avenue),CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),5,0 days 00:37:07.066600,840,823
1184,René-Lévesque / Papineau,Parc St-Henri (Laporte / Guay),1,0 days 00:37:06.184000,95,427
1185,Villeray / de Normanville,Frontenac / Ste-Catherine,5,0 days 00:37:06.179400,485,99
1186,Métro Atwater (Atwater / Ste-Catherine),Messier / St-Joseph,1,0 days 00:37:05.982000,83,752
1187,CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),CHSLD Robert Cliche (de Bellechasse / 16e avenue),1,0 days 00:37:05.931000,823,838
1188,Métro St-Laurent ( de Maisonneuve / St-Laurent),Peel / Notre-Dame,3,0 days 00:37:05.800333333,834,77
1189,Métro Crémazie (Crémazie / Lajeunesse),Métro Place-d'Armes (Viger / St-Urbain),1,0 days 00:37:05.276000,424,31
1190,Square Victoria (Viger / du Square-Victoria),Marmier / St-Denis,1,0 days 00:37:04.011000,42,168
1191,Métro Joliette  (Hochelaga / Joliette),St-Jacques / McGill,1,0 days 00:37:03.939000,322,40
1192,CHSLD Robert Cliche (de Bellechasse / 16e avenue),Métro Mont-Royal (Utilités publiques / Rivard),2,0 days 00:37:03.575000,838,347
1193,Métro Sauvé (Berri / Sauvé),Cartier / Marie-Anne,1,0 days 00:37:02.690000,208,544
1194,de Maisonneuve / Mansfield (sud),St-Viateur / Casgrain,2,0 days 00:37:02.104500,26,532
